#;CAMINHO NO XML;CAMPO;ELE;TIPO;OCOR.;TAM.;DESCRIÄ«O;NOTAS EXPLICATIVAS;DEMANDA;VERS«O;DATA ENTREGA
194;DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;endNac;CG;-;1-1;-;Grupo de informaá‰es do endereáo nacional.;-;;;
195;DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/endNac/;cMun;E;N;1-1;7;"C¢digo do munic°pio do endereáo do fornecedor.
 (Tabela do IBGE)";-;;;
196;DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/endNac/;CEP;E;C;1-1;8;"C¢digo numÇrico do Endereáamento Postal nacional (CEP) 
 do endereáo do fornecedor.";-;;;
197;DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;endExt;CG;-;1-1;-;Grupo de informaá‰es do endereáo no exterior.;-;;;
198;DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/endExt/;cPais;E;C;1-1;2;"C¢digo do pa°s do endereáo do prestador do fornecedor.
 (Tabela de Pa°ses ISO)";-;;;
199;DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/endExt/;cEndPost;E;C;1-1;11;C¢digo alfanumÇrico do Endereáamento Postal no exterior do fornecedor.;-;;;
200;DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/endExt/;xCidade;E;C;1-1;1-60;Nome da cidade no exterior do fornecedor.;-;;;
201;DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/endExt/;xEstProvReg;E;C;1-1;1-60;Estado, prov°ncia ou regi∆o da cidade no exterior do fornecedor.;-;;;
202;DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;xLgr;E;C;1-1;1-255;Tipo e nome do logradouro do endereáo do fornecedor.;-;;;
203;DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;nro;E;C;1-1;1-60;N£mero no logradouro do endereáo do fornecedor.;-;;;
204;DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;xCpl;E;C;0-1;1-156;Complemento do endereáo do fornecedor.;-;;;
205;DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;xBairro;E;C;1-1;1-60;Bairro do endereáo do fornecedor.;-;;;
206;DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;fone;E;N;0-1;6-20;"N£mero do telefone do fornecedor.
(Preencher com o C¢digo DDD + n£mero do telefone. 
Nas operaá‰es com exterior Ç permitido informar o c¢digo do pa°s + c¢digo da localidade + n£mero do telefone)";-;;;
207;DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;email;E;C;0-1;1-80;E-mail do fornecedor.;-;;;
208;DPS/infDPS/valores/;trib;G;-;1-1;-;Grupo de informaá‰es relacionados aos tributos relacionados ao serviáo prestado;-;;;
209;DPS/infDPS/valores/trib/;tribMun;G;-;1-1;-;"Grupo de informaá‰es relacionados ao 
Imposto Sobre Serviáos de Qualquer Natureza - ISSQN";-;;;
210;DPS/infDPS/valores/trib/tribMun/;tribISSQN;E;N;1-1;1;"Tributaá∆o do ISSQN sobre o serviáo prestado:

1 - Operaá∆o tribut†vel;
2 - Imunidade
3 - Exportaá∆o de serviáo;
4 - N∆o Incidància;";-;;;
211;DPS/infDPS/valores/trib/tribMun/;cPaisResult;E;N;0-1;2;"C¢digo do pa°s onde ocorreu o resultado do serviáo prestado.
(Tabela de Pa°ses ISO)";Se houver indicaá∆o pelo emitente de que exportaá∆o de serviáo, mesmo n∆o havendo nenhum elemento para a ocorrància de exportaá∆o, ent∆o o emitente deve indicar em qual pa°s ocorreu o resultado do serviáo prestado.;;;
212;DPS/infDPS/valores/trib/tribMun/;BM;G;-;0-1;-;Grupo de informaá‰es sobre o tipo do Benef°cio Municipal;-;;;
213;DPS/infDPS/valores/trib/tribMun/BM/;nBM;E;N;1-1;14;"Identificador do benef°cio parametrizado pelo munic°pio.

Trata-se de um identificador £nico que foi gerado pelo Sistema Nacional no momento em que o munic°pio de incidància do ISSQN incluiu o benef°cio no sistema.

CritÇrio de formaá∆o do n£mero de identificaá∆o de parÉmetros municipais:

7 d°gitos - posiá∆o 1 a 7: n£mero identificador do Munic°pio, conforme c¢digo IBGE;
2 d°gitos - posiá‰es 8 e 9 : n£mero identificador do tipo de parametrizaá∆o 
(01-legislaá∆o, 02-regimes especiais, 03-retená‰es, 04-outros benef°cios);
5 d°gitos - posiá∆o 10 a 14 : n£mero sequencial definido pelo sistema quando do registro espec°fico do parÉmetro dentro do tipo de parametrizaá∆o no sistema;";"Trata-se de um identificador £nico que foi gerado pelo Sistema Nacional no momento em que o munic°pio de incidància do ISSQN incluiu o benef°cio no sistema.

CritÇrio de formaá∆o do n£mero de identificaá∆o de parÉmetros municipais:

7 d°gitos - posiá∆o 1 a 7: n£mero identificador do Munic°pio, conforme c¢digo IBGE;

2 d°gitos - posiá‰es 8 e 9 : n£mero identificador do tipo de parametrizaá∆o 
(01-legislaá∆o, 02-regimes especiais, 03-retená‰es, 04-outros benef°cios);

5 d°gitos - posiá∆o 10 a 14 : n£mero sequencial definido pelo sistema quando do registro espec°fico do parÉmetro dentro do tipo de parametrizaá∆o no sistema;

O emitente poder† obter essa informaá∆o de parametrizaá∆o do munic°pio atravÇs de API pr¢pria que dar† publicidade Ös parametrizaá‰es dos munic°pios.";;;
214;DPS/infDPS/valores/trib/tribMun/BM/;vRedBCBM;CE;N;0-1;1-15V2;Valor monet†rio (R$) informado pelo emitente para reduá∆o da base de c†lculo (BC) do ISSQN devido a um Benef°cio Municipal (BM).;-;;;
215;DPS/infDPS/valores/trib/tribMun/BM/;pRedBCBM;CE;N;0-1;1-3V2;Valor percentual (%) informado pelo emitente para reduá∆o da base de c†lculo (BC) do ISSQN devido a um Benef°cio Municipal (BM).;O limite para este valor percentual informado pelo emitente est† previamente parametrizado pelo munic°pio de incidància no cadastro do benef°cio municipal.;;;
216;DPS/infDPS/valores/trib/tribMun/;exigSusp;G;-;0-1;-;Informaá‰es para a suspens∆o da Exigibilidade do ISSQN;-;;;
217;DPS/infDPS/valores/trib/tribMun/exigSusp/;tpSusp;E;N;1-1;1;"Opá∆o para Exigibilidade Suspensa:

1 - Exigibilidade do ISSQN Suspensa por Decis∆o Judicial;
2 - Exigibilidade do ISSQN Suspensa por Processo Administrativo;";-;;;
218;DPS/infDPS/valores/trib/tribMun/exigSusp/;nProcesso;E;C;1-1;30;N£mero do processo judicial ou administrativo de suspens∆o da exigibilidade.;-;;;
219;DPS/infDPS/valores/trib/tribMun/;tpImunidade;E;N;0-1;1;"Identificaá∆o da Imunidade do ISSQN ? somente para o caso de Imunidade.

Tipos de Imunidades:

0 - Imunidade (tipo n∆o informado na nota de origem);
1 - Patrimìnio, renda ou serviáos, uns dos outros (CF88, Art 150, VI, a);
2 - Templos de qualquer culto (CF88, Art 150, VI, b);
3 - Patrimìnio, renda ou serviáos dos partidos pol°ticos, inclusive suas fundaá‰es, das entidades sindicais dos trabalhadores, das instituiá‰es de educaá∆o e de assistància social, sem fins lucrativos, atendidos os requisitos da lei (CF88, Art 150, VI, c);
4 - Livros, jornais, peri¢dicos e o papel destinado a sua impress∆o (CF88, Art 150, VI, d);
5 - Fonogramas e videofonogramas musicais produzidos no Brasil contendo obras musicais ou literomusicais de autores brasileiros e/ou obras em geral interpretadas por artistas brasileiros bem como os suportes materiais ou arquivos digitais que os contenham, salvo na etapa de replicaá∆o industrial de m°dias ¢pticas de leitura a laser.   (CF88, Art 150, VI, e);";-;;;
220;DPS/infDPS/valores/trib/tribMun/;pAliq;E;N;0-1;1V2;Valor da al°quota (%) do serviáo prestado relativo ao munic°pio sujeito ativo (munic°pio de incidància) do ISSQN.;"Se o munic°pio de incidància pertence ao Sistema Nacional NFS-e a al°quota estar† parametrizada e, portanto, ser† fornecida pelo sistema.

Se o munic°pio de incidància n∆o pertence ao Sistema Nacional NFS-e a al°quota n∆o estar† parametrizada e, por isso, dever† ser fornecida pelo emitente.";;;
221;DPS/infDPS/valores/trib/tribMun/; tpRetISSQN;E;N;0-1;1;"Tipo de retencao do ISSQN:

1 - N∆o Retido;
2 - Retido pelo Tomador;
3 - Retido pelo Intermediario;";-;;;
222;DPS/infDPS/valores/trib/;tribFed;G;-;0-1;-;Grupo de informaá‰es de outros tributos relacionados ao serviáo prestado;-;;;
223;DPS/infDPS/valores/trib/tribFed/;piscofins;G;-;0-1;-;Grupo de informaá‰es dos tributos PIS/COFINS;-;;;
224;DPS/infDPS/valores/trib/tribFed/piscofins/;CST;E;N;1-1;2;"        C¢digo de Situaá∆o Tribut†ria do PIS/COFINS (CST):

00 - Nenhum;      
01 - Operaá∆o Tribut†vel com Al°quota B†sica;
02 - Operaá∆o Tribut†vel com Al°quota Diferenciada;
03 - Operaá∆o Tribut†vel com Al°quota por Unidade de Medida de Produto;
04 - Operaá∆o Tribut†vel monof†sica - Revenda a Al°quota Zero;
05 - Operaá∆o Tribut†vel por Substituiá∆o Tribut†ria;
06 - Operaá∆o Tribut†vel a Al°quota Zero;
07 - Operaá∆o Tribut†vel da Contribuiá∆o;
08 - Operaá∆o sem Incidància da Contribuiá∆o;
09 - Operaá∆o com Suspens∆o da Contribuiá∆o;";-;;;
225;DPS/infDPS/valores/trib/tribFed/piscofins/;vBCPisCofins;E;N;0-1;1-15V2;Valor da Base de C†lculo do PIS/COFINS (R$).;-;;;
226;DPS/infDPS/valores/trib/tribFed/piscofins/;pAliqPis;E;N;0-1;1-2V2;Valor da Al°quota do PIS (%).;-;;;
227;DPS/infDPS/valores/trib/tribFed/piscofins/;pAliqCofins;E;N;0-1;1-2V2;Valor da Al°quota da COFINS (%).;-;;;
228;DPS/infDPS/valores/trib/tribFed/piscofins/;vPis;E;N;0-1;1-15V2;Valor monet†rio do PIS (R$).;-;;;
229;DPS/infDPS/valores/trib/tribFed/piscofins/;vCofins;E;N;0-1;1-15V2;Valor monet†rio do COFINS (R$).;-;;;
230;DPS/infDPS/valores/trib/tribFed/piscofins/; tpRetPisCofins;E;N;0-1;1;"        Tipo de retencao do Pis/Cofins:
1 - Retido;
2 - N∆o Retido;";-;;;
231;DPS/infDPS/valores/trib/tribFed/;vRetCP;E;N;0-1;1-15V2;Valor monet†rio do CP(R$).;-;;;
232;DPS/infDPS/valores/trib/tribFed/;vRetIRRF;E;N;0-1;1-15V2;Valor monet†rio do IRRF (R$).;-;;;
233;DPS/infDPS/valores/trib/tribFed/;vRetCSLL;E;N;0-1;1-15V2;Valor monet†rio do CSLL (R$).;-;;;
234;DPS/infDPS/valores/trib/;totTrib;G;-;1-1;-;Grupo de informaá‰es para totais aproximados dos tributos relacionados ao serviáo prestado;-;;;
235;DPS/infDPS/valores/trib/totTrib/;vTotTrib;CG;-;0-1;-;"Valor monet†rio total aproximado dos tributos, 
em conformidade com o artigo 1o da Lei no 12.741/2012";-;;;
236;DPS/infDPS/valores/trib/totTrib/vTotTrib/;vTotTribFed;E;N;1-1;1-15V2;Valor monet†rio total aproximado dos tributos federais (R$).;-;;;
237;DPS/infDPS/valores/trib/totTrib/vTotTrib/;vTotTribEst;E;N;1-1;1-15V2;Valor monet†rio total aproximado dos tributos estaduais (R$).;-;;;
238;DPS/infDPS/valores/trib/totTrib/vTotTrib/;vTotTribMun;E;N;1-1;1-15V2;Valor monet†rio total aproximado dos tributos municipais (R$).;-;;;
239;DPS/infDPS/valorestrib/totTrib/;pTotTrib;CG;-;0-1;-;"Valor percentual total aproximado dos tributos, 
em conformidade com o artigo 1o da Lei no 12.741/2012";-;;;
240;DPS/infDPS/valores/trib/totTrib/pTotTrib/;pTotTribFed;E;N;1-1;1-2V2;Valor percentual total aproximado dos tributos federais (%).;-;;;
241;DPS/infDPS/valores/trib/totTrib/pTotTrib/;pTotTribEst;E;N;1-1;1-2V2;Valor percentual total aproximado dos tributos estaduais (%).;-;;;
242;DPS/infDPS/valores/trib/totTrib/pTotTrib/;pTotTribMun;E;N;1-1;1-2V2;Valor percentual total aproximado dos tributos municipais (%).;-;;;
243;DPS/infDPS/valores/trib/totTrib/;indTotTrib;CE;N;0-1;1;"Indicador de informaá∆o de valor total de tributos. 
Se informado indica que o emitente opta por n∆o informar nenhum valor estimado para os Tributos 
(Decreto 8.264/2014).

0 - N∆o;";-;;;
244;DPS/infDPS/valores/trib/totTrib/;pTotTribSN;CE;N;0-1;1-2V2;Valor percentual aproximado do total dos tributos da al°quota do Simples Nacional (%).;-;;;
245;DPS/;Signature;G;-;0-1;-;"Assinatura XML da NFS-e Segundo o Padr∆o XML Digital Signature
Obrigat¢rio quando for enviado para API..
Demais casos poder∆o ser opcionais a serem definidos em regra de validaá∆o.";-;;;
